type,pos,number,fact_fragment,was_submitted
trivia,DT,139,the all-time record number of rugby union international appearances made by Australia scrum-half George Gregan,False
trivia,DT,139,the careers home runs given up by MLB pitcher Brian Meadows from 1998 to 2006,False
trivia,DT,139,"the atomic number of Untriennium, an unsynthesized chemical element",False
trivia,DT,139,the rank of Oman in world population,False
trivia,DT,139,the number of law enforcement officers killed in the line of duty in 1998,False
trivia,DT,139,the number of episodes of the TV series Your Show of Shows that ran on NBC from 1950 to 1954,False
trivia,DT,139,the number of episodes of the TV series I Dream of Jeannie that ran on NBC from 1965 to 1970,False
trivia,DT,139,the number of episodes of the TV series CHiPs that ran on NBC from 1977 to 1983,False
trivia,DT,139,the number of episdoes of the TV series MacGyver that ran on ABC from 1985 to 1992,False
trivia,DT,139,the number of episodes of the TV series 3rd Rock from the Sun that ran on NBC from 1996 to 2001,False
trivia,NN,138,essendon's losing margin against Adelaide in round 10 of the 2006 AFL season,False
trivia,DT,138,the number of touchdowns football quarterback Donnie Davis had for the Georgia Force of the Arena Football League,False
trivia,NN,138,"keith Deller's score in the 1983 BDO World Darts Championship trophy against Eric Bristow, amongst the most memorable in darting history",False
trivia,DT,138,"the atomic number of Untrioctium, a temporary chemical element",False
trivia,DT,138,the rank of Mongolia in world population,False
trivia,DT,138,"the estimated number of ATP molecules produced by one molecule of fatty acid, for the mixture that comprises human adipose tissue",False
trivia,DT,138,the number of constellations of the Triakis tetrahedron,False
trivia,DT,138,"the Saros number of the solar eclipse series which began on June 6, 1472 and will end on July 11, 2716",False
trivia,DT,120,the age at which Moses died,False
trivia,DT,120,the number of Men of the Great Assembly who canonized the Books of the Tanakh and formulated the Jewish prayers,False
trivia,DT,120,the weight in shekels of the gold spoons offered by each tribe of Israel,False
trivia,DT,120,the medical telephone number in China,False
trivia,DT,120,"the telephone number ""to report a car breakdown on the highway in Austria",False
trivia,DT,120,a file medium format developed by Kodak,False
trivia,DT,120,the height in inches of a regulation basketball hoop,False
trivia,DT,120,the maximum number of power stars a player can get in Super Mario 64 for the Nintendo 64,False
trivia,DT,120,the max number of shine sprites in Super Mario Sunshine,False
trivia,DT,121,the electricity emergency telephone number in Egypt,False
trivia,DT,121,the number for voicemail for mobile phones on the Vodafone network,False
trivia,DT,121,the atomic number of the undiscovered chemical element Unbiunium,False
trivia,DT,121,the official end score for Cribbage,False
trivia,DT,122,the fire emergency telephone number in Austria,False
trivia,DT,122,the police emergency telephone number in Egypt,False
trivia,DT,122,the traffic emergency telephone number in China,False
trivia,DT,122,the atomic number of the chemical element unbibium,False
trivia,DT,122,the age of Jeanne Calment when she died,False
trivia,DT,123,the emergency telephone number in Colombia,False
trivia,DT,123,the telephone number of the speaking clock for the correct time in the United Kingdom,False
trivia,DT,123,the electricity emergency telephone number in Indonesia,False
trivia,DT,123,the medical emergency telephone number in Egypt,False
trivia,DT,123,"the Notation for national and international telephone numbers Recommendation ITU-T Recommendation E.123 defines a standard way to write telephone numbers, e-mail addresses, and web addresses",False
trivia,DT,123,the atomic number of the yet-to-be-discovered element unbitrium,False
trivia,DT,124,the atomic number of the yet-to-be-discovered element unbiquadium,False
trivia,DT,124,a stable isotope of tellurium,False
trivia,DT,124,the rank of the Palestinian territories in world population,False
trivia,DT,125,the atomic number of the yet-to-be-discovered element Unbipentium,False
trivia,DT,126,the number of years that Gilgamesh reigned according to the Sumerian king list,False
trivia,DT,126,"the atomic number of unbihexium, an element that has not yet been discovered",False
trivia,DT,126,"the seventh magic number in nuclear physics (2, 8, 20, 28, 50, 82, 126)",False
trivia,DT,127,"the atomic number of Unbiseptium, an element that has not yet been discovered",False
trivia,DT,127,the highest signed 8 bit integer,False
trivia,DT,128,"the atomic number of unbioctium, an element yet to be discovered",False
trivia,DT,128,the number of musical instruments specified in General MIDI,False
trivia,DT,128,a sacred number honored by Beans for many generations,False
trivia,DT,128,"the number of ASCII characters (33 non-printing characters, mostly obsolete control characters that affect how text is processed, and 94 printable)",False
trivia,DT,128,the bytes of memory of the Atari 2600 console,False
trivia,DT,129,"the atomic number of Unbiennium, an element yet to be discovered",False
trivia,DT,129,the rank of Liberia in world population,False
trivia,DT,129,the number of episodes of the TV series Becker that ran on CBS from 1998 to 2004,False
trivia,DT,129,the combined 2-year total of home runs for baseball's Sammy Sosa with 66 home runs in 1999 and 63 in 2000,False
trivia,DT,199,the number of episodes of Ironside that ran on NBC from 1967 to 1975 with 199 episodes,False
trivia,DT,199,the number of episodes of Coach in which actress Shelley Fabares appeared in 199 (of 200 total) episodes,False
trivia,DT,199,"the record of strikeouts in the 2007 MLB season, held by Ryan Howard of the Philadelphia Phillies",False
trivia,DT,199,the number of hits MLB pitcher Alex Jones gave up in his career from 1889-1903,False
trivia,DT,199,the number of games pitched by MLB pitcher Art Herring from 1929-1947,False
trivia,DT,199,the number of hits by Ron Davis in his MLB career from 1962-1969,False
trivia,DT,199,the number of goals scored by Randy Burridge in his NHL career between 1985-1998,False
trivia,DT,199,the number of points by Mario Lemieux in the 1988-1989 NHL season,False
trivia,NN,199,travis Pastrana's number for dirtbiking and rally car racing,False
trivia,DT,199,the position that Tom Brady was picked in the 2000 NFL draft,False
trivia,DT,199,the number of leg hairs ripped by Andrew Reyna in one swift pull,False
trivia,DT,199,the rank of Zambia in population density,False
trivia,DT,199,"the population of Woodstock, Newfoundland and Labrador, Newfoundland and Labrador Canada according to the 2006 Census",False
trivia,DT,199,the atomic number of an element temporarily called Unennennium,False
trivia,DT,199,"the number of steps to the top of the Cape May Lighthouse in Cape May, New Jersey",False
trivia,DT,199,the rank of Highway to Hell (1979) by AC/DC on Rolling Stone magazine's list of the 500 Greatest Albums of All Time,False
trivia,DT,199,the rank of Flash Light (1977) by Parliament on Rolling Stone magazine's list of The 500 Greatest Songs of All Time,False
trivia,DT,198,the number of episodes that Woody Harrelson appeared as Woody Boyd in Cheers (of 273 episodes) between 1985-1993,False
trivia,DT,198,the number of films that actor Harvey Clark appeared in between 1915 and 1938,False
trivia,DT,198,the number of films that actor Neal Burns appeared in between 1915 and 1946,False
trivia,DT,198,the number of sacks by Reggie White in his NFL career from 1985-2000,False
trivia,DT,198,the rank of Finland in population density,False
trivia,DT,198,the rank of Marshall Islands in world population,False
trivia,DT,198,"the population of Perlethorpe, Nottinghamshire England",False
trivia,DT,198,"the population of Wormshill, Kent, England",False
trivia,DT,198,the atomic number of an element temporarily called Unennoctium,False
trivia,DT,198,the number of places listed on the United States National Register of Historic Places in Los Angeles,False
trivia,DT,198,the rank of Best of Little Walter (1964) by Little Walter on Rolling Stone magazine's list of the 500 Greatest Albums of All Time,False
trivia,DT,198,the rank of Hey Joe (1966) by Jimi Hendrix on Rolling Stone magazine's list of The 500 Greatest Songs of All Time,False
trivia,DT,195,the number of episodes of Matlock ran on NBC from 1986-1992 and on ABC from 1992-1995,False
trivia,DT,195,"the number of episodes of Strange Paradise, a Canadian serial, aired on CBC Television from 1969-1970",False
trivia,DT,195,"the number of episodes of The Ed Allen Show, which began in 1948",False
trivia,DT,195,the number of episodes of Chickenman series which began in 1966,False
trivia,DT,195,the number of runs by Dick Culler in his Major League Baseball career from 1936-1949,False
trivia,DT,195,the number of runs that Ollie Beard had in his MLB career from 1889-1891,False
trivia,DT,195,the length in miles of The Wild West Relay team running relay race held annually in August in Colorado,False
trivia,DT,195,"the speed in miles per hour at which Canadian race car driver Francis Affleck was driving when his car rolled over and died on February 7, 1985",False
trivia,DT,195,the distance off the coast of Malta that the ocean liner RMS Franconia was sunk by German torpedoes in 1916,False
trivia,DT,195,the rank of South Ossetia Georgia in population density,False
trivia,DT,195,the rank of Dominica ranks in world population,False
trivia,DT,195,"the rank of Waco, Texas by largest city population in the United States",False
trivia,DT,195,"the population of Guedanga, in the Ouo Department of ComoÃ© Province, Burkina Faso",False
trivia,DT,195,the atomic number of an element temporarily called Unennpentium,False
trivia,NN,195,"minuscule 195 is a Greek minuscule manuscript of the New Testament, on parchment",False
trivia,DT,195,the detainee number of the Mohammad Al Rahman Al Shumrani at Guantanamo Bay,False
trivia,DT,195,the number of countries in the world if Taiwan is included,False
trivia,DT,195,the rank of BNY Mellon Center in terms of the tallest skyscraper in the world,False
trivia,DT,195,the rank of Bluesbreakers (1966) by John Mayall With Eric Clapton on Rolling Stone magazine's list of the 500 Greatest Albums of All Time,False
trivia,DT,195,"the rank of ""Maybe"" (1957) by The Chantels on Rolling Stone magazine's list of The 500 Greatest Songs of All Time",False
trivia,DT,194,the number of episodes of I Love Lucy that ran on CBS from 1951 to 1960,False
trivia,DT,194,the number of episodes of Will & Grace that ran on NBC from 1998 to 2006,False
trivia,DT,194,"the NHL record number of saves, set by Bruce Sutter in 1982",False
trivia,DT,194,the rank of Equatorial Guinea in population density,False
trivia,DT,194,the rank of Isle of Man in world population,False
trivia,DT,194,"the number of historic building in the Braden Castle Park Historic District in Bradenton, Florida",False
trivia,DT,197,the number of episodes of the Cosby Show that ran on NBC from 1984-1992,False
trivia,DT,197,the approximate atomic mass of Gold,False
trivia,DT,197,the rank of the Solomon Islands in population density,False
trivia,DT,197,the number of years that Fu Xi lived for altogether,False
trivia,DT,196,the length in miles of the New Orleans and Northeastern Railroad,False
trivia,DT,196,the number of athletes that Canada had in 15 sports at the 2006 Winter Olympics,False
trivia,DT,196,the rank of Vanuatu in population density,False
trivia,DT,196,the rank of American Samoa in world population,False
trivia,DT,196,"the population of Giry, France",False
trivia,DT,196,"the population density in square kilometers of Italy, the fifth-highest population density in Europe",False
trivia,DT,196,"the height of Mount Victoria, Wellington, a prominent hill near Wellington, New Zealand",False
trivia,DT,196,the length in miles of the Adda River in Italy,False
trivia,DT,196,the rank of Sweet Child o' Mine (1987) by Guns N' Roses on Rolling Stone magazine's list of The 500 Greatest Songs of All Time,False
trivia,DT,191,the number of episodes for the different regions in the PokÃ©mon anime,False
trivia,DT,191,a common flight number for flights involved in crashes,False
trivia,DT,191,the atomic number of an element temporarily called Unennunium,False
trivia,DT,190,the length in minutes of the Right Stuff,False
trivia,DT,190,the rank of Uruguay in population density,False
trivia,DT,190,the rank of Seychelles in world population,False
trivia,DT,190,"the population of Arguisuelas, Castile-La Mancha, Spain",False
trivia,DT,190,the fire emergency number in the Brazil,False
trivia,DT,190,the medical emergency number in Ghana,False
trivia,DT,190,the atomic number of an element temporarily called Unenntrium,False
trivia,DT,190,the number of member states of the United Nations,False
trivia,DT,192,"the number of episodes with Moose, a dog, playing Eddie Crane on Frasier",False
trivia,DT,192,the distance in feet the Hampstead London Underground station is below ground level,False
trivia,DT,192,the rank of Sweden in population density,False
trivia,DT,192,the rank of Andorra in world population,False
trivia,DT,192,"the population of Bide Arm in Newfoundland and Labrador, Canada",False
trivia,DT,192,the atomic number of an element temporarily called Unennbium,False
trivia,DT,192,"the number of lasers in the National Ignition Facility (NIF) at Lawrence Livermore National Laboratory in Livermore, California",False
trivia,DT,192,the number of days it took to form the 2007 Belgian government,False
trivia,DT,192,the length in miles of the The Coast to Coast Walk in England,False
trivia,DT,115,the atomic number of an element temporarily called ununpentium,False
trivia,DT,114,"the number of chapter in the Quran, the holy book of Islam contains 114",False
trivia,DT,114,the radioisotope of nuclear isomer of Cadmium with a half-life of 14.1 years,False
trivia,DT,114,"the element with the highest number of protons yet discovered, Ununquadium with the highest number",False
trivia,DT,114,the police non-emergency number in Denmark,False
trivia,DT,117,the atomic number of a recently discovered element temporarily called ununseptium,False
trivia,DT,117,"the substitute for the number 17, which is considered unlucky in Italy",False
trivia,DT,117,the serial number of protagonist John from the Halo Series,False
trivia,DT,116,the prefix for several EU-wide telephone helplines designated as harmonised service of social value,False
trivia,DT,116,the atomic number of an element temporarily called ununhexium,False
trivia,DT,116,"the number of years that the Hundred Years' War between France and England, from 1337 to 1453, actually lasted",False
trivia,DT,116,the record for number of wins in a single season of Major League Baseball achieved by the Chicago Cubs in 1906 and the Seattle Mariners in 2001,False
trivia,DT,116,"the number of pages in the Lost pages, the original manuscript of what Joseph Smith, Jr. said was the translation of the Book of Lehi, of the Golden plates revealed to him in 1827",False
trivia,DT,111,the atomic number of the element roentgenium (Rg),False
trivia,DT,111,"the lowest positive integer requiring six syllables to name in American English, or seven syllables (including ""and"") in Canadian and British English",False
trivia,DT,111,"the number occasionally referred to as ""eleventy-one"", as read in The Fellowship of the Ring by J.R.R",False
trivia,DT,110,the atomic number of darmstadtium,False
trivia,DT,110,"a common name for mains electricity in North America, despite the nominal voltage actually being 120V (range 110-120)",False
trivia,DT,110,the age a person must attain in order to be considered a supercentenarian,False
trivia,DT,110,a card game related to Forty-five (card game),False
trivia,DT,110,"a percentage in the expression ""To give 110%"", meaning to give a little more effort than one's maximum effort",False
trivia,DT,110,the number of stories of both towers of the former World Trade Center in New York,False
trivia,DT,110,the number of stories (by common reckoning) of the Sears Tower in Chicago,False
trivia,DT,110,the TCP port used for POP3 email protocol,False
trivia,DT,110,"the number also known as ""eleventy"", a term made famous by linguist and author J. R. R. Tolkien (Bilbo Baggins celebrates his eleventy-first birthday at the beginning of The Lord of the Rings) and derived from the Old English hund endleofantig",False
trivia,DT,113,the intelligence Agency telephone number in Iran,False
trivia,DT,113,the port number of the IDENT Internet protocol that helps identify the user of a particular TCP connection,False
trivia,DT,113,the atomic number of an element temporarily called ununtrium,False
trivia,DT,113,"a number considred unlucky in enduro, given to a race entrant and is colloquially known as a ""blind pew""",False
trivia,DT,113,the number of surat al-Falaq in the Qur'an,False
trivia,DT,113,"a number that is a rare lucky number, and has been written about by anthropologist Emily Anne McDonald",False
trivia,DT,112,"the number on mobile phones implementing the GSM standard, where it redirects to the country-specific emergency number",False
trivia,DT,112,the number of pounds in a British long hundredweight,False
trivia,DT,112,the number of surat al-Ikhlas in the Qur'an,False
trivia,DT,112,the atomic number of the element copernicium (formerly called ununbium),False
trivia,DT,119,a number to report children / youth at risk in France,False
trivia,DT,119,the default port for unencrypted NNTP connections,False
trivia,DT,118,the atomic number of the element Ununoctium,False
trivia,DT,118,"the beginning of directory enquiries numbers in the United Kingdom,France, Germany, Latvia, Sweden, Ireland, and Turkey",False
trivia,DT,118,the medical and Alpine rescue emergency telephone number in Italy,False
trivia,DT,108,"the number of pressure points in the human body according to Marma Adi and Ayurveda, where consciousness and flesh intersect to give life to the living being",False
trivia,DT,108,"a number prominently related in the symbolism associated with karate, particularly the GÅjÅ«-ryÅ« discipline",False
trivia,DT,108,the number of moves in several different Taijiquan long forms,False
trivia,DT,108,"the number of suitors coveting Penelope, wife of Odysseus in Homer's Odyssey",False
trivia,DT,108,the number of outlaws in the Chinese classic Water Margin/Outlaws of the Marsh,False
trivia,EX,108,"there number of love sonnets in Astrophil and Stella, the first English sonnet sequence by Sir Philip Sidney",False
trivia,DT,108,the number of stitches in an official Major League Baseball baseball,False
trivia,DT,108,the atomic number of hassium,False
trivia,DT,108,the number of Mbit/s of a non-standard extension of IEEE 802.11g wireless network using channel bonding,False
trivia,DT,108,"the name of a community of and for open source developers, created by Red Hat",False
trivia,DT,108,the number of cards in a deck of UNO cards,False
trivia,DT,108,the percentage volume expansion of freezing water,False
trivia,DT,109,the atomic number of meitnerium,False
trivia,DT,102,"the atomic number of nobelium, an actinide",False
trivia,DT,102,the number of floors in Empire State Building in New York City,False
trivia,DT,103,"the atomic number of lawrencium, an actinide",False
trivia,VBZ,101,"is the atomic number of mendelevium, an actinide",False
trivia,VBZ,101,"is the number of floors of Taipei 101, the tallest skyscraper in the world from 2004 to 2010",False
trivia,DT,101,the HTTP status code indicating that a client should switch protocols,False
trivia,DT,101,"the first course in a subject taught at a college or university in Australia, Canada, South Africa, or the United States",False
trivia,DT,101,the number of the first check for new checking account in the US,False
trivia,DT,101,a number used to define the number of keys on a computer keyboard,False
trivia,DT,101,the number of the Vault that is the starting area of Fallout 3,False
trivia,DT,101,"the number identifying number of several infantry units in various militaries across the world, such as the American and Israeli paratrooper brigades",False
trivia,DT,106,the atomic number of seaborgium (Unilhexium Unh),False
trivia,DT,106,the number of surat Quraysh in the Qur'an,False
trivia,DT,106,"the maximum number of characters filenames can have in Joliet, an extension to the ISO 9660 file system",False
trivia,DT,107,the atomic number of bohrium,False
trivia,DT,107,a common police code denoting a suspicious person,False
trivia,DT,107,the number of Nobel Prize in Literature laureates,False
trivia,DT,104,the atomic number of rutherfordium,False
trivia,DT,104,"the number of Corinthian columns in the Temple of Olympian Zeus, the largest temple ever built in Greece",False
trivia,DT,104,the number of guns on Admiral Horatio Nelson's flagship HMS Victory,False
trivia,DT,105,"the atomic number of hahnium, also known as dubnium",False
trivia,DT,105,the number of surat al-Fil in the Qur'an,False
trivia,DT,179,the number of episodes of I Love Lucy which ran on CBS,False
trivia,DT,179,the number of games played in the MLB with 162 games in the regular season and the potential 17 post-season games,False
trivia,DT,179,the rank of Guam in world population,False
trivia,DT,179,the rank of Estonia in world population density,False
trivia,DT,179,the atomic number of an element temporarily called Unseptennium,False
trivia,DT,179,the number of even numbered days of the year,False
trivia,DT,179,the number of demands laid out by chess master Bobby Fischer laid for the World Chess Federation prior to a 1975 match against Anatoly Karpov,False
trivia,DT,179,the rank of the the song Love Will Tear Us Apart (1980) by the Joy Division on Rolling Stone magazine's list of The 500 Greatest Songs of All Time,False
trivia,DT,179,the rank of the Anthology 1961-1977 (1992) by Curtis Mayfield and The Impressions on Rolling Stone magazine's list of the 500 greatest albums of all time,False
trivia,DT,178,the rank of Samoa in world population,False
trivia,DT,178,the rank of Estonia in world population density,False
trivia,DT,178,the atomic number of an element temporarily called Unseptoctium,False
trivia,DT,177,"the elevation of Borgarvirki, in the north of Iceland, in meteres above sea level",False
trivia,DT,177,the second highest possible score in darts that can be obtained by throwing three darts in a single visit to the oche,False
trivia,DT,177,the all-time titles record held by Tennis Hall of Famer Martina Navratilova,False
trivia,DT,177,the rank of Netherlands Antilles in world population,False
trivia,DT,177,the rank of the United States in world population density,False
trivia,DT,177,the atomic number of an element temporarily called Unseptseptium,False
trivia,DT,176,the rank of Vanuatu in world population,False
trivia,DT,176,the rank of Madagascar 176 world population density,False
trivia,DT,176,the atomic number of an element temporarily called Unsepthexium,False
trivia,DT,176,the rank of Rocks (1976) by Aerosmith on Rolling Stone magazine's list of the 500 Greatest Albums of All Time,False
trivia,DT,176,"the number of verses in the longest chapter, the Psalm 119 of the Bible",False
trivia,DT,175,the number of films that actress Rose Tapley appeared in,False
trivia,DT,175,"the number of touchdowns by Former NFL running back Emmitt Smith, ranking him second to Jerry Rice's 207",False
trivia,DT,175,the weight in grams of a flying disc used in Ultimate,False
trivia,DT,175,the number of weeks that professional golfer David Toms spent in the top-10 of the Official World Golf Rankings between 2001 and 2006,False
trivia,DT,175,the rank of Belize in world population,False
trivia,DT,175,the atomic number of an element temporarily called Unseptpentium,False
trivia,DT,174,"the populatiokn of Aupaluk, Quebec (as of 2006)",False
trivia,DT,174,the rank of Barbados in world population,False
trivia,DT,174,the rank of Zimbabwe in world population density,False
trivia,DT,174,the atomic number of an element temporarily called Unseptquadium,False
trivia,DT,174,"the length in miles of the The Columbia University Library System collection, with over 9.3 million volumes, if stretched end-to-end",False
trivia,DT,173,the number of hair strands used to animate Rapunzel's 70 meter long hair in Tangled (2010),False
trivia,DT,173,"the number of players that competed in badminton at the 2008 Summer Olympics in Beijing, China",False
trivia,DT,173,the rank of Maldives in world population,False
trivia,DT,173,the rank of Faroe Islands (Denmark) in world population density,False
trivia,DT,173,the atomic number of an element temporarily called Unsepttrium,False
trivia,DT,173,the Exit status indicated by Mac App Store software when receipt validation fails,False
trivia,DT,172,the record in miles per hour of John White's shot in squash,False
trivia,DT,172,the rank of Djibouti in world population density,False
trivia,DT,172,the rank of Iceland in world population,False
trivia,DT,172,the atomic number of an element temporarily called Unseptbium,False
trivia,DT,172,the temperature in Farenheit at which alcohol boils,False
trivia,DT,172,the number that appears on the back of the US $5 dollar bill (in the bushes at the base of the Lincoln Memorial),False
trivia,DT,171,the top speed in miles per hours of the the Porsche Cayenne Turbo S automobile,False
trivia,DT,171,the record number of goals scored by France at the 1998 World Cup,False
trivia,DT,171,the rank of Bahamas in world population,False
trivia,DT,171,the atomic number of an element called Ununseptunium,False
trivia,CD,170,170 is the maximum check-out possible in a standard game of darts (where the final score must be a double),False
trivia,DT,182,the atomic number of an element temporarily called Unoctbium,False
trivia,DT,182,the carat of the Star of Bombay cabochon-cut star sapphire originating from Sri Lanka,False
trivia,DT,183,"the number of runs scored by former cricket player Sourav Ganguly in the 1999 Cricket World Cup, second highest in World Cup history, and highest by an Indian in the tournament",False
trivia,DT,183,the rank of the U.S. Virgin Islands in world population,False
trivia,DT,183,the rank of Laos in countries by population density,False
trivia,DT,183,the atomic number of an element temporarily called Unocttrium,False
trivia,DT,183,"the id number of Issam Hamid Al Bin Ali Al Jayfi, a detainee at Guantanamo Bay",False
trivia,DT,180,a number that in an astrological aspect is considered to be negative in influence,False
trivia,DT,180,the number of films American film actor John Wayne starred in,False
trivia,DT,180,the number of Death in the In the Final Destination series,False
trivia,DT,180,a trick used in extreme sports where a rider rotates half a turn while airborne and lands,False
trivia,DT,180,the maximum possible score in one turn at darts (three triple 20s),False
trivia,DT,180,the gent's clout shooting distance in archery measured in yards,False
trivia,DT,181,the wing area of a Boeing 757 airplane in meters,False
trivia,DT,181,"the number of passengers aboard TAM Airlines Flight 3054 which crashed upon landing in SÃ£o Paulo on July 17, 2007",False
trivia,DT,181,the rider number given to Lance Armstrong in 1999 when he won his first of seven Tour de France consecutive victories,False
trivia,DT,181,the number of athletes from Belarus competed in 28 events at the 2008 Olympics in Beijing,False
trivia,DT,181,the rank of SÃ£o TomÃ© and PrÃ­ncipe in world population,False
trivia,DT,181,the atomic number of an element temporarily called Unoctunium,False
trivia,DT,181,"the number of 181 colleges, universities and other higher education institutions in Texas",False
trivia,DT,186,a police term for a murder or homicide,False
trivia,DT,186,the length of the Judgment at Nuremberg measured in 186 minutes,False
trivia,DT,186,the rank of Aruba in world population,False
trivia,DT,186,the rank of Somaliland in countries by population density,False
trivia,DT,186,the atomic number of an element temporarily called Unocthexium,False
trivia,DT,186,the number of odd numbered days during a non-leap year,False
trivia,DT,187,a signature wrestling move by wrestler New Jack (diving elbow drop while holding a steel chair underneath his arm),False
trivia,DT,187,the atomic number of an element temporarily called Unoctseptium,False
trivia,DT,187,the number of the California Penal Code section describing murder,False
trivia,CD,187,187th Street in the Washington Heights section of Manhattan,False
trivia,DT,184,"a weight class in collegiate wrestling, 184 lb (83 kg)",False
trivia,DT,184,a number believed to be a magic number in nuclear physics,False
trivia,DT,184,"the distance in light years to Eta Aquarii,a star in the constellation Aquarius",False
trivia,DT,185,the record number of singles hit by St. Louis Cardinals Jesse Burkett in 1899,False
trivia,DT,185,the rank Grenada in world population,False
trivia,DT,185,"the name of an improve improv game where, given a subject from the audience, players make up jokes beginning with ""185 (blanks) walk into a bar",False
trivia,DT,185,the distance a single playing card was thrown in feet by Kevin St. Onge to set a Guinness World Record,False
trivia,DT,188,the range measured in miles of a fully charged electric battery-powered Lightning GT sports car,False
trivia,DT,188,the rank of Tonga in world population,False
trivia,DT,189,the rank of Brazil in population density,False
trivia,DT,189,the rank of Jersey in world population,False
trivia,DT,189,the atomic number of an element temporarily called Unoctennium,False
trivia,DT,189,the rank of Stayin' Alive (1977) by the Bee Gees on Rolling Stone magazine's list of The 500 Greatest Songs of All Time,False
trivia,DT,1,the number of dimensions of a line,False
trivia,DT,1,the number of moons orbiting Earth,False
trivia,DT,10,the number of years in a decade,False
trivia,DT,10,the number of official inkblots in the Rorschach inkblot test,False
trivia,DT,10,the number of letters used in the traditional Snellen chart,False
trivia,DT,10,the number of kingdoms in Five Dynasties and Ten Kingdoms Period,False
trivia,DT,10,the number of Provinces in Canada,False
trivia,DT,10,the Number of dots in a tetractys,False
trivia,DT,10,"the number of hydrogen atoms in butane, a hydrocarbon",False
trivia,DT,10,the number of spacetime dimensions in some superstring theories,False
trivia,DT,10,the highest score possible in Olympics gymnastics competitions,False
trivia,DT,100,the number of blessings a religious Jewish person is expected to utter daily,False
trivia,DT,100,the number of years in a century,False
trivia,DT,100,the number of pounds in an American short hundredweight,False
trivia,DT,100,the number of yards in an American football field (not including the end zones),False
trivia,DT,100,"the number of runs required for a cricket batsman to score a century, a significant milestone",False
trivia,DT,100,"the record number of points scored in one NBA game by a single player, set by Wilt Chamberlain of the Philadelphia Warriors on March 2, 1962 I",False
trivia,DT,100,the minimum distance in yards for a Par 3 on a golf course,False
trivia,DT,11,the number of points on the stylized maple leaf on the Flag of Canada,False
trivia,DT,11,"the number of sides on the Canadian one-dollar coin (a hendecagon, an eleven-sided polygon)",False
trivia,DT,11,the number of denominations of Canadian currency produced in large quantities,False
trivia,DT,11,the number of players on a soccer team on the field at a time as well as in a cricket team,False
trivia,DT,11,the number of players in a field hockey team,False
trivia,DT,11,the number of players in an American football team on the field at one time during play,False
trivia,DT,11,the number of incarnations of The Doctor in BBC sci-fi series Doctor Who,False
trivia,DT,11,the approximate periodicity of a sunspot cycle in years,False
trivia,DT,12,the number of function keys on most PC keyboards (F1 through F12),False
trivia,DT,12,"the number of keys in any standard digital telephone (1 through 9, 0, * and #)",False
trivia,DT,12,"the number of basic hues in the color wheel (3 primary colors (red, yellow, blue), 3 secondary colors (orange, green & purple) and 6 tertiary colors)",False
trivia,DT,12,the number of months in a year,False
trivia,DT,12,the number of ounces in a troy pound (used for precious metals),False
